"code UAI";"n° SIRET";"type d'établissement";nom;sigle;statut;tutelle;université;"boîte postale";adresse;CP;commune;"commune (COG)";cedex;téléphone;arrondissement;département;académie;région;"région (COG)";"longitude (X)";"latitude (Y)";"début portes ouvertes";"fin portes ouvertes";"commentaires portes ouvertes";"lien site onisep.fr"
0594854F;33830238300017;"Autre établissement du supérieur";"Ecole internationale Tunon";;"Privé hors contrat";;;;"57 rue de Paris";59000;Lille;59350;;"03 20 57 79 30";;Nord;Lille;Hauts-de-France;32;3.067351;50.6351282;;;;www.onisep.fr/http/redirection/etablissement/identifiant/241
0573247V;;"Autre établissement du supérieur";"Institut supérieur national de l'artisanat - Chambre de métiers et de l'Artisanat en Moselle";ISNA;Consulaire;"Ministère chargé de l'Économie et des Finances";;"CP 97803";"5 boulevard de la Défense";57078;Metz;57463;"Cedex 03";"03 87 39 31 26";;Moselle;Nancy-Metz;Grand-Est;44;6.2144293;49.1068071;01/03/2019;30/03/2019;"mars 2019";www.onisep.fr/http/redirection/etablissement/identifiant/382
0596292U;;"Autre établissement du supérieur";"Institut national des techniques économiques et comptables";"INTEC CNAM";Public;"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";"Conservatoire national des arts et métiers";;"8 boulevard Louis XIV";59044;Lille;59350;Cedex;"03 20 60 65 68";;Nord;Lille;Hauts-de-France;32;3.0715542;50.628479;;;;www.onisep.fr/http/redirection/etablissement/identifiant/603
0754940M;;"Autre établissement du supérieur";"Académie internationale de management - Hotel & Tourism Management Academy";AIM;"Privé hors contrat";;;;"2 rue Charbonnel";75013;Paris;75113;;"01 45 75 65 75";13;Paris;Paris;Ile-de-France;11;2.3432867865082;48.822711680036;;;;www.onisep.fr/http/redirection/etablissement/identifiant/885
0492062A;;"Autre établissement du supérieur";Ircom;;"Privé hors contrat";;;"CS 10059";"23 rue Edouard Guinel";49136;"Les Ponts-de-Cé";49246;;"02 41 79 64 64";;Maine-et-Loire;Nantes;"Pays de la Loire";52;-0.5333231;47.443078;02/02/2019;02/02/2019;"de 14h à 17h et le 06/04/2019 de 14h à 17h (pour les Masters)";www.onisep.fr/http/redirection/etablissement/identifiant/1179
0332237C;;"Autre établissement du supérieur";"CRFCB Médiaquitaine";CRFCB;Public;"Ministère chargé de l'Enseignement supérieur de la Recherche et de l'Innovation";"Université de Bordeaux";"CS 61292";"146 rue Léo Saignat";33076;Bordeaux;33063;Cedex;"05 47 30 43 40";;Gironde;Bordeaux;Nouvelle-Aquitaine;75;-0.57917999999995;44.837789;;;;www.onisep.fr/http/redirection/etablissement/identifiant/1267
0142263J;;"Autre établissement du supérieur";ICARE;;"Privé hors contrat";;;;"147 route de la délivrande";14000;Caen;14118;;"02 31 94 60 60";;Calvados;Caen;Normandie;28;-0.3587073;49.1993729;27/01/2018;27/01/2018;"le 17/02/2018 et le 17/03/2018 de 9h30 à 12h30";www.onisep.fr/http/redirection/etablissement/identifiant/1641
0130235K;;"Autre établissement du supérieur";"Institut des métiers du notariat";IMN;"Privé reconnu";"Ministère de la Justice";;;"25 avenue Poncet";13090;Aix-en-Provence;13001;;"04 42 24 82 34";;Bouches-du-Rhône;Aix-Marseille;"Provence-Alpes-Côte d'Azur";93;5.36978;43.296482;;;;www.onisep.fr/http/redirection/etablissement/identifiant/1783
0352548E;;"Autre établissement du supérieur";"Ecofac Business School";;"Privé hors contrat";;;;"32 rue du Chêne Germain";35510;Cesson-Sévigné;35051;;"02 23 30 00 11";;Ille-et-Vilaine;Rennes;Bretagne;53;-1.6218875;48.1290723;27/01/2018;27/01/2018;"de 9h à 17h, le 21/02/2018 de 18h à 20h30, le 17/03/2018 de 9h à 14h";www.onisep.fr/http/redirection/etablissement/identifiant/2321
0130235K;;"Autre établissement du supérieur";"Centre de formation professionnelle des notaires";CFPN;"Privé reconnu";"Ministère de la Justice";;;"25 avenue Poncet";13090;Aix-en-Provence;13001;;"04 42 24 82 30";;Bouches-du-Rhône;Aix-Marseille;"Provence-Alpes-Côte d'Azur";93;5.3824806;43.279008;;;;www.onisep.fr/http/redirection/etablissement/identifiant/2366
